Start,Duration
15/08/2021 22:12,36
16/08/2021 15:12,17
16/08/2021 18:07,98
17/08/2021 10:15,6
17/08/2021 14:51,16
17/08/2021 21:37,18
17/08/2021 22:44,7
18/08/2021 09:25,17
18/08/2021 10:32,7
18/08/2021 12:14,12
18/08/2021 19:34,80
19/08/2021 10:02,12
19/08/2021 12:21,135
19/08/2021 21:42,45
20/08/2021 10:38,10
20/08/2021 11:20,38
20/08/2021 12:43,222
20/08/2021 17:51,106
20/08/2021 21:31,11
21/08/2021 10:05,92
22/08/2021 02:58,32
22/08/2021 20:34,30
22/08/2021 21:49,19
23/08/2021 10:12,7
23/08/2021 11:59,17
23/08/2021 15:10,19
23/08/2021 18:46,13
24/08/2021 09:14,14
24/08/2021 23:32,26
25/08/2021 12:23,97
25/08/2021 16:39,66
26/08/2021 01:52,19
26/08/2021 16:40,32
26/08/2021 17:25,2
26/08/2021 21:45,22
27/08/2021 00:47,23
27/08/2021 11:07,49
27/08/2021 15:23,22
27/08/2021 20:41,74
28/08/2021 12:39,82
28/08/2021 18:37,47
28/08/2021 20:54,38
29/08/2021 11:50,8
29/08/2021 13:31,91
29/08/2021 15:25,14
29/08/2021 15:55,112
29/08/2021 18:56,19
30/08/2021 11:13,35
30/08/2021 12:01,57
30/08/2021 16:10,7
30/08/2021 20:35,27
31/08/2021 13:49,64
31/08/2021 15:01,104
31/08/2021 23:03,22
